('hsa-miR-18a-5p', 'MIMAT0000072')
('hsa-miR-4326', 'MIMAT0016888')
('hsa-miR-99b-3p', 'MIMAT0004678')
('hsa-miR-130a-5p', 'MIMAT0004593')
('hsa-miR-1248', 'MIMAT0005900')
('hsa-miR-3074-5p', 'MIMAT0019208')
('hsa-miR-940', 'MIMAT0004983')
('hsa-miR-653-5p', 'MIMAT0003328')
('hsa-miR-130b-3p', 'MIMAT0000691')
('hsa-miR-3648', 'MIMAT0018068')
('hsa-miR-616-5p', 'MIMAT0003284')
('hsa-miR-216b-5p', 'MIMAT0004959')
('hsa-miR-197-5p', 'MIMAT0022691')
('hsa-miR-421', 'MIMAT0003339')
('hsa-miR-10b-3p', 'MIMAT0004556')
('hsa-miR-3131', 'MIMAT0014996')
('hsa-miR-493-3p', 'MIMAT0003161')
('hsa-miR-202-3p', 'MIMAT0002811')
('hsa-miR-324-3p', 'MIMAT0000762')
('hsa-miR-142-5p', 'MIMAT0000433')
('hsa-miR-203a-5p', 'MIMAT0031890')
('hsa-miR-183-3p', 'MIMAT0004560')
('hsa-miR-2355-5p', 'MIMAT0016895')
('hsa-miR-542-5p', 'MIMAT0003340')
('hsa-miR-18a-3p', 'MIMAT0002891')
('hsa-miR-129-5p', 'MIMAT0000242')
('hsa-miR-942-3p', 'MIMAT0026734')
('hsa-miR-618', 'MIMAT0003287')
('hsa-miR-496', 'MIMAT0002818')
('hsa-miR-651-5p', 'MIMAT0003321')
('hsa-miR-376c-3p', 'MIMAT0000720')
('hsa-miR-129-2-3p', 'MIMAT0004605')
('hsa-miR-3610', 'MIMAT0017987')
('hsa-miR-99a-5p', 'MIMAT0000097')
('hsa-let-7f-1-3p', 'MIMAT0004486')
('hsa-miR-675-3p', 'MIMAT0006790')
('hsa-miR-19b-1-5p', 'MIMAT0004491')
('hsa-miR-1538', 'MIMAT0007400')
('hsa-miR-501-5p', 'MIMAT0002872')
('hsa-miR-126-5p', 'MIMAT0000444')
('hsa-miR-1288-3p', 'MIMAT0005942')
('hsa-miR-136-3p', 'MIMAT0004606')
('hsa-miR-183-5p', 'MIMAT0000261')
('hsa-miR-3943', 'MIMAT0018359')
('hsa-miR-502-3p', 'MIMAT0004775')
('hsa-miR-433-3p', 'MIMAT0001627')
('hsa-miR-3615', 'MIMAT0017994')
('hsa-miR-513c-5p', 'MIMAT0005789')
('hsa-miR-218-1-3p', 'MIMAT0004565')
('hsa-miR-497-3p', 'MIMAT0004768')
('hsa-miR-212-3p', 'MIMAT0000269')
('hsa-miR-1181', 'MIMAT0005826')
('hsa-miR-708-5p', 'MIMAT0004926')
('hsa-miR-3940-3p', 'MIMAT0018356')
('hsa-miR-3942-5p', 'MIMAT0018358')
('hsa-miR-885-5p', 'MIMAT0004947')
('hsa-miR-23b-3p', 'MIMAT0000418')
('hsa-miR-1228-3p', 'MIMAT0005583')
('hsa-miR-3614-5p', 'MIMAT0017992')
('hsa-let-7f-5p', 'MIMAT0000067')
('hsa-miR-487a-5p', 'MIMAT0026559')
('hsa-miR-676-3p', 'MIMAT0018204')
('hsa-miR-424-3p', 'MIMAT0004749')
('hsa-miR-32-5p', 'MIMAT0000090')
('hsa-miR-128-1-5p', 'MIMAT0026477')
('hsa-miR-514a-5p', 'MIMAT0022702')
('hsa-miR-1251-5p', 'MIMAT0005903')
('hsa-miR-130a-3p', 'MIMAT0000425')
('hsa-miR-655-3p', 'MIMAT0003331')
('hsa-miR-21-5p', 'MIMAT0000076')
('hsa-miR-181b-2-3p', 'MIMAT0031893')
('hsa-miR-514b-3p', 'MIMAT0015088')
('hsa-miR-3664-5p', 'MIMAT0018086')
('hsa-miR-3158-3p', 'MIMAT0015032')
('hsa-miR-127-3p', 'MIMAT0000446')
('hsa-miR-98-3p', 'MIMAT0022842')
('hsa-miR-20b-5p', 'MIMAT0001413')
('hsa-miR-3605-3p', 'MIMAT0017982')
('hsa-miR-380-5p', 'MIMAT0000734')
('hsa-miR-495-3p', 'MIMAT0002817')
('hsa-miR-3188', 'MIMAT0015070')
('hsa-miR-331-3p', 'MIMAT0000760')
('hsa-miR-27b-3p', 'MIMAT0000419')
('hsa-miR-1226-3p', 'MIMAT0005577')
('hsa-miR-3928-3p', 'MIMAT0018205')
('hsa-let-7b-3p', 'MIMAT0004482')
('hsa-miR-301a-3p', 'MIMAT0000688')
('hsa-miR-452-5p', 'MIMAT0001635')
('hsa-miR-574-3p', 'MIMAT0003239')
('hsa-miR-34c-3p', 'MIMAT0004677')
('hsa-miR-556-3p', 'MIMAT0004793')
('hsa-miR-891b', 'MIMAT0004913')
('hsa-miR-335-5p', 'MIMAT0000765')
('hsa-miR-7-5p', 'MIMAT0000252')
