('64094', 'SMOC2', '64094', 'SMOC2')
('100131726', 'LOC100131726', '100131726', 'FAM83A-AS1')
('93436', 'ARMC6', '93436', 'ARMC6')
('9509', 'ADAMTS2', '9509', 'ADAMTS2')
('55830', 'GLT8D1', '55830', 'GLT8D1')
('55084', 'SOBP', '55084', 'SOBP')
('439921', 'MXRA7', '439921', 'MXRA7')
('3215', 'HOXB5', '3215', 'HOXB5')
('55011', 'PIH1D1', '55011', 'PIH1D1')
('59348', 'ZNF350', '59348', 'ZNF350')
('27202', 'GPR77', '27202', 'C5AR2')
('3164', 'NR4A1', '3164', 'NR4A1')
('84219', 'WDR24', '84219', 'WDR24')
('7270', 'TTF1', '7270', 'TTF1')
('55601', 'DDX60', '55601', 'DDX60')
('8820', 'HESX1', '8820', 'HESX1')
('257144', 'GCET2', '257144', 'GCSAM')
('9467', 'SH3BP5', '9467', 'SH3BP5')
('8742', 'TNFSF12', '8742', 'TNFSF12')
('9024', 'BRSK2', '9024', 'BRSK2')
('64981', 'MRPL34', '64981', 'MRPL34')
('310', 'ANXA7', '310', 'ANXA7')
('9049', 'AIP', '9049', 'AIP')
('93058', 'COQ10A', '93058', 'COQ10A')
('23452', 'ANGPTL2', '23452', 'ANGPTL2')
('23581', 'CASP14', '23581', 'CASP14')
('89777', 'SERPINB12', '89777', 'SERPINB12')
('3735', 'KARS', '3735', 'KARS')
('54830', 'NUP62CL', '54830', 'NUP62CL')
('2521', 'FUS', '2521', 'FUS')
('8725', 'C19orf2', '8725', 'URI1')
('51063', 'CALHM2', '51063', 'CALHM2')
('80279', 'CDK5RAP3', '80279', 'CDK5RAP3')
('4232', 'MEST', '4232', 'MEST')
('55410', 'NCRNA00185', '83869', 'TTTY14')
('59286', 'UBL5', '59286', 'UBL5')
('7102', 'TSPAN7', '7102', 'TSPAN7')
('627', 'BDNF', '627', 'BDNF')
('10634', 'GAS2L1', '10634', 'GAS2L1')
('79750', 'ZNF385D', '79750', 'ZNF385D')
('5468', 'PPARG', '5468', 'PPARG')
('827', 'CAPN6', '827', 'CAPN6')
('5071', 'PARK2', '5071', 'PARK2')
('400', 'ARL1', '400', 'ARL1')
('114801', 'TMEM200A', '114801', 'TMEM200A')
('116071', 'BATF2', '116071', 'BATF2')
('375287', 'RBM43', '375287', 'RBM43')
('51000', 'SLC35B3', '51000', 'SLC35B3')
('149628', 'PYHIN1', '149628', 'PYHIN1')
('11168', 'PSIP1', '11168', 'PSIP1')
('10469', 'TIMM44', '10469', 'TIMM44')
('25936', 'NSL1', '25936', 'NSL1')
('4162', 'MCAM', '4162', 'MCAM')
('26953', 'RANBP6', '26953', 'RANBP6')
('6944', 'VPS72', '6944', 'VPS72')
('8819', 'SAP30', '8819', 'SAP30')
('55502', 'HES6', '55502', 'HES6')
('11025', 'LILRB3', '11025', 'LILRB3')
('43847', 'KLK14', '43847', 'KLK14')
('22884', 'WDR37', '22884', 'WDR37')
('64423', 'INF2', '64423', 'INF2')
('64693', 'CTAGE1', '64693', 'CTAGE1')
('116519', 'APOA5', '116519', 'APOA5')
('81570', 'CLPB', '81570', 'CLPB')
('2250', 'FGF5', '2250', 'FGF5')
('10236', 'HNRNPR', '10236', 'HNRNPR')
('517', 'ATP5G2', '517', 'ATP5G2')
('221122', 'LOC221122', '221122', 'LOC221122')
