('T174217', 'LSCAT237')
('T220188', 'LSCAT27')
('T054886', 'THCAT491')
('T281892', 'CAT659')
('T361230', 'HICLINC231')
('T253003', 'THCAT552')
('T252227', 'PRCAT169')
('T244350', 'BRCAT96.2')
('T365359', 'CAT1186.2')
('T380707', 'HRAT6')
('T284251', 'LSCAT89')
('T219718', 'CAT2179.3')
('T154791', 'CAT1982')
('T186847', 'KCCAT574')
('T128190', 'CAT1825')
('T181493', 'AMAT90')
('T182231', 'CAT2135')
('T275436', 'CAT618.4')
('T153884', 'CAT1976')
('T359193', 'CAT1144.1')
('T189056', 'KHCAT16')
('T298876', 'CAT779')
('T285992', 'BRCAT407')
('T334719', 'CAT987')
('T086054', 'CAT1569.1')
('T296035', 'KCCAT497')
('T070890', 'BRCAT427')
('T063472', 'CAT1389.2')
('T282972', 'PART1.4')
('T137759', 'KCCAT130')
('T166200', 'CAT2044')
('T072905', 'THCAT307')
('T295543', 'LGAT28')
('T136864', 'THCAT220')
('T264727', 'KPCAT75')
('T275647', 'CAT619.2')
('T229471', 'LINC00896')
('T097797', 'DNAJC3-AS1.1')
('T054833', 'LACAT245')
('T231718', 'CAT2235.2')
('T200703', 'LACAT50.1')
('T183196', 'PRCAT62')
('T353085', 'LSCAT186')
('T306332', 'CAT821.1')
('T029851', 'LACAT67')
('T119007', 'LACAT149')
('T273666', 'KHCAT18')
('T315199', 'LGAT53.1')
('T291191', 'MIR143HG.1')
('T337275', 'KCCAT340')
('T214853', 'THCAT569')
('T186000', 'LSCAT110')
('T264052', 'CAT540')
('T054927', 'AMAT25')
('T307134', 'CAT829')
('T114088', 'MBAT29')
('T037773', 'CAT1234.2')
('T024798', 'CAT135')
('T260275', 'OVAT122')
('T233425', 'KCCAT248')
('T004105', 'CMAT27')
('T196124', 'MEAT8.1')
('T381217', 'KCCAT579')
('T162453', 'LACAT45')
('T107830', 'LACAT110')
('T019326', 'THCAT556')
('T277645', 'CAT637')
('T182500', 'HNCAT3.1')
('T292055', 'THCAT581')
('T367410', 'CAT1204.5')
('T356020', 'CAT1135')
('T257583', 'LINC00887.13')
('T352174', 'KHCAT249')
('T080164', 'CRAT16')
('T219109', 'CAT2175.1')
('T380267', 'CAT2314.2')
('T156561', 'CAT1984')
('T361617', 'CAT1159')
('T143733', 'STCAT19')
('T010479', 'LINC00853')
('T177397', 'CAT2113.2')
('T118459', 'CAT1766.4')
('T232291', 'KHCAT160')
('T048662', 'OVAT64.1')
('T309701', 'KCCAT45')
('T241223', 'CAT402')
('T188864', 'KCCAT518')
('T297255', 'PNAT105')
('T315818', 'PRCAT41')
('T234829', 'EFCAB6-AS1')
('T200157', 'MPAT6')
('T116773', 'CAT1745.1')
('T066939', 'CAT1419')
('T313770', 'SYNE1-AS1')
('T056746', 'WT1-AS.3')
('T038300', 'CAT1238')
('T059415', 'LVCAT48')
('T058035', 'LRP4-AS1.3')
('T184100', 'THCAT99')
('T181972', 'CAT2134.1')
('T137233', 'CAT1879')
('T187578', 'KCCAT389')
('T118785', 'LINC00593.1')
('T202750', 'MBAT80')
('T237820', 'PRRT3-AS1')
('T348436', 'HRAT27')
('T311917', 'LINC00271.1')
('T032259', 'KHCAT170')
('T019181', 'CAT104')
('T249970', 'CAT445')
('T241093', 'THCAT365')
('T272992', 'CAT597')
('T367544', 'LACAT5.3')
('T206471', 'CAT358.3')
('T304476', 'CAT807.1')
('T210046', 'KCCAT114.2')
('T310796', 'BRCAT308')
('T064677', 'LSCAT42')
('T076738', 'KHCAT445')
